mydate,y,a,b,c,h
2021-02-01 00:03:06,5.38423,0.0,0.0,0.0,
2021-02-01 00:08:06,5.66176,0.0,0.3,0.0,
2021-02-01 00:13:06,5.99481,0.0,0.0,0.0,
2021-02-01 00:18:06,6.16133,0.0,0.05,0.0,
2021-02-01 00:23:06,6.32785,0.0,0.0,0.0,
2021-02-01 00:28:06,6.43887,0.0,0.15,0.0,
2021-02-01 00:33:06,6.71641,0.0,0.05,0.0,
2021-02-01 00:38:06,7.10496,0.0,0.15,0.0,
2021-02-01 00:43:06,7.60453,0.0,0.08333333333333333,0.0,
2021-02-01 00:48:06,8.10409,0.0,0.20442521212121212,0.0,
2021-02-01 00:53:06,8.77018,0.0,0.24719818181818184,0.0,
2021-02-01 00:58:06,9.32526,10.0,1.6573447527272727,10.0,
2021-02-01 01:03:06,9.71381,0.0,0.09808185,0.0,
2021-02-01 01:08:06,9.76932,0.0,0.05961637,0.0,
2021-02-01 01:13:06,10.1024,0.0,0.2,0.0,
2021-02-01 01:18:06,10.4909,0.0,0.05,0.0,
2021-02-01 01:23:06,10.9905,0.0,0.05,0.0,
2021-02-01 01:28:06,11.1015,0.0,0.0,0.0,
2021-02-01 01:33:06,11.046,0.0,0.0,0.0,
2021-02-01 01:38:06,10.9905,0.0,0.0,0.0,
2021-02-01 01:43:06,10.9905,0.0,0.0,0.0,
2021-02-01 01:48:06,11.157,0.0,0.0,0.0,
2021-02-01 01:53:06,11.3235,0.0,0.2,0.0,
2021-02-01 01:58:06,11.49,0.0,0.05,0.0,
2021-02-01 02:03:06,11.5456,0.0,0.0,0.0,
2021-02-01 02:08:06,11.5456,0.0,0.05,0.0,
2021-02-01 02:13:06,11.4345,0.0,0.3,0.0,
2021-02-01 02:18:06,11.2125,0.0,0.15,0.0,
2021-02-01 02:23:06,10.935,0.0,0.0,0.0,
2021-02-01 02:28:06,10.6019,0.0,0.0,0.0,
2021-02-01 02:33:06,10.3244,0.0,0.3,0.0,
2021-02-01 02:38:06,10.2134,0.0,0.0,0.0,
2021-02-01 02:43:06,10.2689,0.0,0.04,0.0,
2021-02-01 02:48:06,10.4354,0.0,0.24785563636363636,0.0,
2021-02-01 02:53:06,10.5464,0.0,0.14731954545454545,0.0,
2021-02-01 02:58:06,10.4909,0.0,0.10564541818181819,0.0,
2021-02-01 03:03:06,10.3244,0.0,0.0991794,0.0,
2021-02-01 03:08:06,10.1024,0.0,0.31,0.0,
2021-02-01 03:13:06,10.0469,0.0,0.15,0.0,
2021-02-01 03:18:06,10.0469,0.0,0.15,0.0,
2021-02-01 03:23:06,10.0469,0.0,0.0,0.0,
2021-02-01 03:28:06,10.0469,0.0,0.3,0.0,
2021-02-01 03:33:06,10.0469,0.0,0.1,0.0,
2021-02-01 03:38:06,10.1579,0.0,0.15,0.0,
2021-02-01 03:43:06,10.2689,0.0,0.15,0.0,
2021-02-01 03:48:06,10.2689,0.0,0.3,0.0,
2021-02-01 03:53:06,10.1579,0.0,0.0,0.0,
2021-02-01 03:58:06,9.99135,0.0,0.0,0.0,
2021-02-01 04:03:06,9.93584,0.0,0.05,0.0,
2021-02-01 04:08:06,10.0469,0.0,0.09000000000000001,0.0,
2021-02-01 04:13:06,10.1024,0.0,0.10761904761904761,0.0,
2021-02-01 04:18:06,10.1024,0.0,0.10952380952380952,0.0,
2021-02-01 04:23:06,10.0469,0.0,0.10952380952380952,0.0,
2021-02-01 04:28:06,10.0469,0.0,0.05952380952380952,0.0,
2021-02-01 04:33:06,10.0469,0.0,0.2238095238095238,0.0,
2021-02-01 04:38:06,10.0469,0.0,0.1625,0.0,
2021-02-01 04:43:06,10.0469,10.0,1.4625,10.0,
2021-02-01 04:48:06,9.88033,0.0,0.1125,0.0,
2021-02-01 04:53:06,9.6583,0.0,0.21250000000000002,0.0,
2021-02-01 04:58:06,9.38077,0.0,0.0,0.0,
2021-02-01 05:03:06,9.26975,0.0,0.0,0.0,
2021-02-01 05:08:06,9.15874,0.0,0.0,0.0,
2021-02-01 05:13:06,9.10323,0.0,0.15,0.0,
2021-02-01 05:18:06,9.04772,0.0,0.0,0.0,
2021-02-01 05:23:06,9.04772,0.0,0.0,0.0,
2021-02-01 05:28:06,8.99221,0.0,0.0,0.0,
2021-02-01 05:33:06,8.93671,0.0,0.25,0.0,
2021-02-01 05:38:06,8.82569,0.0,0.0,0.0,
2021-02-01 05:43:06,8.71468,0.0,0.0,0.0,
2021-02-01 05:48:06,8.65917,0.0,0.0,0.0,
2021-02-01 05:53:06,8.54815,0.0,0.25,0.0,
2021-02-01 05:58:06,8.49265,0.0,0.0,0.0,
2021-02-01 06:03:06,8.43714,0.0,0.0,0.0,
2021-02-01 06:08:06,8.32612,0.0,0.0,0.0,
2021-02-01 06:13:06,8.1596,0.0,0.25,0.0,
2021-02-01 06:18:06,8.04859,0.0,0.0,0.0,
2021-02-01 06:23:06,7.93757,0.0,0.0,0.0,
2021-02-01 06:28:06,7.82656,0.0,0.0,0.0,
2021-02-01 06:33:06,7.71554,0.0,0.04,0.0,
2021-02-01 06:38:06,7.60453,0.0,0.1,0.0,
2021-02-01 06:43:06,7.438,0.0,0.05,0.0,
2021-02-01 06:48:06,7.32699,0.0,0.11,0.0,
2021-02-01 06:53:06,7.27148,0.0,0.1125,0.0,
2021-02-01 06:58:06,7.27148,0.0,0.1625,0.0,
2021-02-01 07:03:06,7.27148,0.0,0.1125,0.0,
2021-02-01 07:08:06,7.21597,0.0,0.10250000000000001,0.0,
2021-02-01 07:13:06,7.16047,0.0,0.1,0.0,
2021-02-01 07:18:06,7.04945,0.0,0.05,0.0,
2021-02-01 07:23:06,7.04945,0.0,0.09636363636363637,0.0,
2021-02-01 07:28:06,7.04945,0.0,0.09545454545454547,0.0,
