mydate,y,a,b,c,h
2022-02-01 00:03:13,10.6019,0.374,0.2574723076923077,0.0,57.6567
2022-02-01 00:08:13,10.6019,0.897,0.4074723076923077,0.0,55.0
2022-02-01 00:13:13,10.6574,1.427,0.3074723076923077,0.0,57.0
2022-02-01 00:18:13,10.5464,0.326,0.3074723076923077,0.0,57.0
2022-02-01 00:23:13,10.5464,0.984,0.25747230769230767,0.0,
2022-02-01 00:28:13,10.6019,0.994,0.1074723076923077,0.0,57.0
2022-02-01 00:33:13,10.6019,1.277,0.3324723076923077,0.0,56.0
2022-02-01 00:38:13,10.4354,0.951,0.3074723076923077,0.0,57.0
2022-02-01 00:43:13,10.2134,1.573,0.1074723076923077,0.0,58.0
2022-02-01 00:48:13,10.1579,1.354,0.1074723076923077,0.0,
2022-02-01 00:53:13,10.1024,1.0115,0.1074723076923077,0.0,57.0
2022-02-01 00:58:13,9.82483,1.0785,0.2668601425891182,0.0,61.0
2022-02-01 01:03:13,9.54729,1.399,0.12358902439024391,0.0,62.0
2022-02-01 01:08:13,9.54729,2.285,0.12358902439024391,0.0,62.0
2022-02-01 01:13:13,9.76932,1.6595,0.12358902439024391,0.0,56.0
2022-02-01 01:18:13,9.54729,1.0985,0.42358902439024393,0.0,
2022-02-01 01:23:13,9.6028,1.7040000000000002,0.2485890243902439,0.0,59.0
2022-02-01 01:28:13,9.6028,0.7475,0.2485890243902439,0.0,54.0
2022-02-01 01:33:13,9.54729,3.7415,0.32358902439024395,0.0,
2022-02-01 01:38:13,9.15874,0.20500000000000002,1.0619356097560975,0.0,59.0
2022-02-01 01:43:13,9.26975,0.0,0.0125,0.0,
2022-02-01 01:48:13,9.04772,0.0,0.015,0.0,
2022-02-01 01:53:13,8.60366,0.0,0.035,0.0,
2022-02-01 01:58:13,8.32612,0.0,0.025,0.0,
2022-02-01 02:03:13,8.32612,0.0,0.0,0.0,
2022-02-01 02:08:13,8.32612,0.0,0.029796780000000002,0.0,
